Municipio,Sección,Listado Nominal
MAZATLAN,2684,1536
MAZATLAN,2685,2299
MAZATLAN,2686,1031
MAZATLAN,2687,1033
MAZATLAN,2688,1262
MAZATLAN,2689,953
MAZATLAN,2690,1671
MAZATLAN,2691,13547
MAZATLAN,2692,309
MAZATLAN,2693,1802
MAZATLAN,2695,1201
MAZATLAN,2696,780
MAZATLAN,2697,359
MAZATLAN,2698,4015
MAZATLAN,2699,349
MAZATLAN,2700,750
MAZATLAN,2701,534
MAZATLAN,2702,713
MAZATLAN,2703,603
MAZATLAN,2704,638
MAZATLAN,2705,524
MAZATLAN,2706,547
MAZATLAN,2707,530
MAZATLAN,2708,1004
MAZATLAN,2709,307
MAZATLAN,2710,454
MAZATLAN,2711,641
MAZATLAN,2712,749
MAZATLAN,2713,174
MAZATLAN,2714,442
MAZATLAN,2715,945
MAZATLAN,2716,758
MAZATLAN,2717,1603
MAZATLAN,2718,511
MAZATLAN,2719,437
MAZATLAN,2720,513
MAZATLAN,2721,764
MAZATLAN,2722,1464
MAZATLAN,2723,469
MAZATLAN,2724,468
MAZATLAN,2725,554
MAZATLAN,2726,268
MAZATLAN,2727,350
MAZATLAN,2728,279
MAZATLAN,2729,430
MAZATLAN,2730,718
MAZATLAN,2731,608
MAZATLAN,2732,511
MAZATLAN,2733,709
MAZATLAN,2734,548
MAZATLAN,2735,604
MAZATLAN,2736,536
MAZATLAN,2737,1471
MAZATLAN,2738,891
MAZATLAN,2739,568
MAZATLAN,2740,2262
MAZATLAN,2741,1979
MAZATLAN,2742,2529
MAZATLAN,2743,3019
MAZATLAN,2744,2386
MAZATLAN,2745,1009
MAZATLAN,2746,1534
MAZATLAN,2747,302
MAZATLAN,2748,199
MAZATLAN,2749,551
MAZATLAN,2750,251
MAZATLAN,2751,662
MAZATLAN,2752,492
MAZATLAN,2753,545
MAZATLAN,2754,536
MAZATLAN,2755,529
MAZATLAN,2756,249
MAZATLAN,2757,272
MAZATLAN,2758,291
MAZATLAN,2759,367
MAZATLAN,2760,398
MAZATLAN,2761,805
MAZATLAN,2762,1079
MAZATLAN,2763,882
MAZATLAN,2764,180
MAZATLAN,2765,401
MAZATLAN,2766,339
MAZATLAN,2767,415
MAZATLAN,2768,342
MAZATLAN,2769,581
MAZATLAN,2770,707
MAZATLAN,2771,413
MAZATLAN,2772,356
MAZATLAN,2773,392
MAZATLAN,2774,616
MAZATLAN,2775,530
MAZATLAN,2776,457
MAZATLAN,2777,431
MAZATLAN,2778,339
MAZATLAN,2779,332
MAZATLAN,2780,443
MAZATLAN,2781,499
MAZATLAN,2782,417
MAZATLAN,2783,1035
MAZATLAN,2784,687
MAZATLAN,2785,423
MAZATLAN,2786,451
MAZATLAN,2787,374
MAZATLAN,2788,488
MAZATLAN,2789,509
MAZATLAN,2790,404
MAZATLAN,2791,684
MAZATLAN,2792,337
MAZATLAN,2793,329
MAZATLAN,2794,386
MAZATLAN,2795,426
MAZATLAN,2796,616
MAZATLAN,2797,460
MAZATLAN,2798,972
MAZATLAN,2799,849
MAZATLAN,2800,1024
MAZATLAN,2801,679
MAZATLAN,2802,439
MAZATLAN,2803,264
MAZATLAN,2804,4929
MAZATLAN,2805,786
MAZATLAN,2806,502
MAZATLAN,2807,2244
MAZATLAN,2809,3006
MAZATLAN,2810,1261
MAZATLAN,2811,421
MAZATLAN,2812,586
MAZATLAN,2813,746
MAZATLAN,2814,702
MAZATLAN,2815,646
MAZATLAN,2816,730
MAZATLAN,2817,520
MAZATLAN,2818,559
MAZATLAN,2819,270
MAZATLAN,2820,452
MAZATLAN,2821,513
MAZATLAN,2822,460
MAZATLAN,2823,465
MAZATLAN,2824,380
MAZATLAN,2825,402
MAZATLAN,2826,405
MAZATLAN,2827,613
MAZATLAN,2828,461
MAZATLAN,2829,285
MAZATLAN,2830,1050
MAZATLAN,2831,962
MAZATLAN,2832,697
MAZATLAN,2833,1193
MAZATLAN,2834,547
MAZATLAN,2835,1264
MAZATLAN,2836,591
MAZATLAN,2837,642
MAZATLAN,2838,258
MAZATLAN,2839,357
MAZATLAN,2840,205
MAZATLAN,2841,265
MAZATLAN,2842,475
MAZATLAN,2843,477
MAZATLAN,2844,405
MAZATLAN,2845,376
MAZATLAN,2846,509
MAZATLAN,2847,773
MAZATLAN,2848,1671
MAZATLAN,2849,4077
MAZATLAN,2850,2431
MAZATLAN,2851,1530
MAZATLAN,2852,363
MAZATLAN,2853,718
MAZATLAN,2854,613
MAZATLAN,2855,560
MAZATLAN,2856,478
MAZATLAN,2857,269
MAZATLAN,2858,234
MAZATLAN,2859,328
MAZATLAN,2860,402
MAZATLAN,2861,594
MAZATLAN,2862,497
MAZATLAN,2863,1624
MAZATLAN,2864,437
MAZATLAN,2865,378
MAZATLAN,2866,402
MAZATLAN,2867,309
MAZATLAN,2868,512
MAZATLAN,2869,777
MAZATLAN,2870,714
MAZATLAN,2871,880
MAZATLAN,2872,762
MAZATLAN,2873,265
MAZATLAN,2874,204
MAZATLAN,2875,345
MAZATLAN,2876,349
MAZATLAN,2877,432
MAZATLAN,2878,317
MAZATLAN,2879,2103
MAZATLAN,2880,642
MAZATLAN,2881,432
MAZATLAN,2882,326
MAZATLAN,2883,339
MAZATLAN,2884,292
MAZATLAN,2885,933
MAZATLAN,2886,423
MAZATLAN,2887,1384
MAZATLAN,2888,999
MAZATLAN,2889,760
MAZATLAN,2890,422
MAZATLAN,2891,370
MAZATLAN,2892,483
MAZATLAN,2893,295
MAZATLAN,2894,491
MAZATLAN,2895,516
MAZATLAN,2896,461
MAZATLAN,2897,264
MAZATLAN,2898,357
MAZATLAN,2899,248
MAZATLAN,2900,251
MAZATLAN,2901,734
MAZATLAN,2902,706
MAZATLAN,2903,711
MAZATLAN,2904,413
MAZATLAN,2905,564
MAZATLAN,2906,1385
MAZATLAN,2907,695
MAZATLAN,2908,143
MAZATLAN,2909,673
MAZATLAN,2910,465
MAZATLAN,2911,342
MAZATLAN,2912,196
MAZATLAN,2913,268
MAZATLAN,2914,227
MAZATLAN,2915,462
MAZATLAN,2916,224
MAZATLAN,2917,486
MAZATLAN,2918,312
MAZATLAN,2919,442
MAZATLAN,2920,281
MAZATLAN,2921,611
MAZATLAN,2922,1020
MAZATLAN,2923,531
MAZATLAN,2924,554
MAZATLAN,2925,401
MAZATLAN,2926,139
MAZATLAN,2927,528
MAZATLAN,2928,275
MAZATLAN,2929,312
MAZATLAN,2930,388
MAZATLAN,2931,245
MAZATLAN,2932,199
MAZATLAN,2933,468
MAZATLAN,2934,248
MAZATLAN,2935,380
MAZATLAN,2936,314
MAZATLAN,2937,429
MAZATLAN,2938,540
MAZATLAN,2939,645
MAZATLAN,2940,404
MAZATLAN,2941,307
MAZATLAN,2942,437
MAZATLAN,2943,210
MAZATLAN,2944,380
MAZATLAN,2945,121
MAZATLAN,2946,220
MAZATLAN,2947,288
MAZATLAN,2948,4308
MAZATLAN,2949,480
MAZATLAN,2950,499
MAZATLAN,2951,1707
MAZATLAN,2955,348
MAZATLAN,2956,529
MAZATLAN,2958,304
MAZATLAN,2959,186
MAZATLAN,2960,184
MAZATLAN,2961,831
MAZATLAN,2962,326
MAZATLAN,2963,359
MAZATLAN,2964,318
MAZATLAN,2965,179
MAZATLAN,2966,446
MAZATLAN,2967,444
MAZATLAN,2968,121
MAZATLAN,2969,145
MAZATLAN,2970,191
MAZATLAN,2971,204
MAZATLAN,2973,350
MAZATLAN,2974,809
MAZATLAN,2975,619
MAZATLAN,2976,347
MAZATLAN,2977,275
MAZATLAN,2978,170
MAZATLAN,2979,714
MAZATLAN,2982,190
MAZATLAN,2983,412
MAZATLAN,2984,713
MAZATLAN,2985,342
MAZATLAN,2987,1051
MAZATLAN,2989,2389
MAZATLAN,2990,525
MAZATLAN,2991,439
MAZATLAN,2992,264
MAZATLAN,2993,587
MAZATLAN,2994,256
MAZATLAN,2996,1122
MAZATLAN,3790,1559
MAZATLAN,3791,1488
MAZATLAN,3792,1359
MAZATLAN,3793,1500
MAZATLAN,3794,770
MAZATLAN,3795,1473
MAZATLAN,3796,949
MAZATLAN,3797,1145
MAZATLAN,3798,558
MAZATLAN,3799,1188
MAZATLAN,3800,848
MAZATLAN,3801,1321
MAZATLAN,3802,768
MAZATLAN,3803,811
MAZATLAN,3804,1263
MAZATLAN,3805,1021
MAZATLAN,3806,722
MAZATLAN,3807,451
MAZATLAN,3808,661
MAZATLAN,3809,775
MAZATLAN,3810,916
MAZATLAN,3811,745
MAZATLAN,3812,893
MAZATLAN,3813,809
MAZATLAN,3814,591
MAZATLAN,3815,810
MAZATLAN,3816,1358
MAZATLAN,3817,1429
MAZATLAN,3818,1112
MAZATLAN,3819,843
MAZATLAN,3820,1292
MAZATLAN,3821,1654
MAZATLAN,3822,565
MAZATLAN,3823,1285
MAZATLAN,3824,728
MAZATLAN,3825,581
MAZATLAN,3826,1075
MAZATLAN,3827,887
MAZATLAN,3828,1379
MAZATLAN,3829,1235
MAZATLAN,3830,1398
MAZATLAN,3831,1016
MAZATLAN,3832,674
MAZATLAN,3833,636
MAZATLAN,3834,952
MAZATLAN,3835,507
MAZATLAN,3836,703
MAZATLAN,3837,432
MAZATLAN,3890,124
MAZATLAN,3891,137
MAZATLAN,3911,2108
MAZATLAN,3912,1399
MAZATLAN,3913,2203
MAZATLAN,3914,1827
MAZATLAN,3923,1466
MAZATLAN,3924,1472
MAZATLAN,3925,505
MAZATLAN,3926,443
MAZATLAN,3927,3170
MAZATLAN,3928,682
MAZATLAN,3929,1084
MAZATLAN,3930,546
MAZATLAN,3931,582
MAZATLAN,3932,1859
MAZATLAN,3933,2744
MAZATLAN,3949,680
MAZATLAN,3950,1287
MAZATLAN,3951,1574
MAZATLAN,3952,474
MAZATLAN,3953,333
MAZATLAN,3954,635
MAZATLAN,3955,512
MAZATLAN,3956,1326
MAZATLAN,3957,976
MAZATLAN,3958,589
MAZATLAN,3959,1665
MAZATLAN,3960,727
MAZATLAN,3961,763
MAZATLAN,3962,2123
MAZATLAN,3963,2061
MAZATLAN,3964,2137
